,movieId,title,directors,writers,stars,year,certificate,length (min),Storyline,languages,Oscars,genres,popularity,Rating
10,13,Balto ,['simon_wells'],"['cliff_ruby', 'elana_lesser', 'david_steven_cohen']","['kevin_bacon', 'bob_hoskins', 'bridget_fonda']",1995,G,78,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",['English'],,"['Adventure', 'Animation', 'Children']",popular,High_rated
11,12,Dracula: Dead and Loving It ,['mel_brooks'],"['mel_brooks', 'rudy_de_luca', 'steve_haberman']","['leslie_nielsen', 'mel_brooks', 'peter_macnicol']",1995,PG-13,88,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,"['English ', ' German']",,"['Comedy', 'Horror']",popular,Low_rated
12,16,Casino ,['martin_scorsese'],"['nicholas_pileggi', 'martin_scorsese']","['robert_de_niro', 'sharon_stone', 'joe_pesci']",1995,R,178,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.",['English'],Nominated,"['Crime', 'Drama']",popular,High_rated
13,17,Sense and Sensibility ,['ang_lee'],"['jane_austen', 'emma_thompson']","['emma_thompson', 'kate_winslet', 'james_fleet']",1995,PG,136,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.","['English ', ' French']",Won,"['Drama', 'Romance']",popular,High_rated
14,15,Cutthroat Island ,['renny_harlin'],"['michael_frost_beckner', 'james_gorman', 'bruce_a._evans']","['geena_davis', 'matthew_modine', 'frank_langella']",1995,PG-13,124,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,"['English ', ' Spanish ', ' Latin ', ' French']",,"['Action', 'Adventure', 'Romance']",popular,Low_rated
15,18,Four Rooms ,"['allison_anders', 'alexandre_rockwell', 'robert_rodriguez']","['allison_anders', 'alexandre_rockwell', 'robert_rodriguez']","['tim_roth', 'antonio_banderas', 'sammi_davis']",1995,R,98,Four interlocking tales that take place in a fading hotel on New Year's Eve.,['English'],,['Comedy'],popular,High_rated
16,23,Assassins ,['richard_donner'],"['lilly_wachowski', 'lana_wachowski', 'brian_helgeland']","['sylvester_stallone', 'antonio_banderas', 'julianne_moore']",1995,R,133,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,"['English ', ' Dutch ', ' Spanish']",,"['Action', 'Crime', 'Thriller']",popular,Low_rated
17,21,Get Shorty ,['barry_sonnenfeld'],"['elmore_leonard', 'scott_frank']","['gene_hackman', 'rene_russo', 'danny_devito']",1995,R,105,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",['English'],,"['Comedy', 'Crime', 'Thriller']",popular,High_rated
18,19,Ace Ventura: When Nature Calls ,['steve_oedekerk'],"['jack_bernstein', 'steve_oedekerk']","['jim_carrey', 'ian_mcneice', 'simon_callow']",1995,PG-13,90,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",['English'],,['Comedy'],popular,Low_rated
19,22,Copycat ,['jon_amiel'],"['ann_biderman', 'david_madsen']","['sigourney_weaver', 'holly_hunter', 'dermot_mulroney']",1995,R,123,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,['English'],,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",popular,Low_rated
20,20,Money Train ,['joseph_ruben'],"['doug_richardson', 'david_loughery']","['wesley_snipes', 'woody_harrelson', 'jennifer_lopez']",1995,R,110,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",['English'],,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",popular,Low_rated
21,25,Leaving Las Vegas ,['mike_figgis'],"[""john_o'brien"", 'mike_figgis']","['nicolas_cage', 'elisabeth_shue', 'julian_sands']",1995,R,111,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-... Read all","['English ', ' Russian']",Won,"['Drama', 'Romance']",popular,High_rated
22,24,Powder ,['victor_salva'],['victor_salva'],"['mary_steenburgen', 'sean_patrick_flanery', 'lance_henriksen']",1995,PG-13,111,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit... Read all,['English'],,"['Drama', 'Sci-Fi']",popular,Low_rated
23,26,Othello ,['oliver_parker'],"['oliver_parker', 'william_shakespeare']","['laurence_fishburne', 'kenneth_branagh', 'irène_jacob']",1995,R,123,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the... Read all",['English'],,['Drama'],unpopular,High_rated
24,9,Sudden Death ,['peter_hyams'],"['karen_elise_baldwin', 'gene_quintano']","['jean-claude_van_damme', 'powers_boothe', 'raymond_j._barry']",1995,R,111,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,['English'],,['Action'],popular,Low_rated
25,29,"City of Lost Children, The (Cité des enfants perdus, La) ","['marc_caro', 'jean-pierre_jeunet']","['gilles_adrien', 'jean-pierre_jeunet', 'marc_caro']","['ron_perlman', 'daniel_emilfork', 'judith_vittet']",1995,R,112,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","['French ', ' Cantonese']",,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",popular,High_rated
26,27,Now and Then ,['lesli_linka_glatter'],['i._marlene_king'],"['christina_ricci', 'demi_moore', ""rosie_o'donnell""]",1995,PG-13,102,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,['English'],,"['Children', 'Drama']",popular,High_rated
27,32,Twelve Monkeys (a.k.a. 12 Monkeys) ,['terry_gilliam'],"['chris_marker', 'david_webb_peoples', 'janet_peoples']","['bruce_willis', 'madeleine_stowe', 'brad_pitt']",1995,R,129,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","['English ', ' French ', ' Latin ', ' Spanish ', ' German']",Nominated,"['Mystery', 'Sci-Fi', 'Thriller']",popular,High_rated
28,28,Persuasion ,['roger_michell'],"['jane_austen', 'nick_dear']","['amanda_root', 'ciarán_hinds', 'susan_fleetwood']",1997,PG,103,Theatrical film of Persuasion with Ciaran Hinds & Amanda Root. Directed by Roger Michell.,['English'],,"['Drama', 'Romance']",unpopular,High_rated
29,31,Dangerous Minds ,['john_n._smith'],"['louanne_johnson', 'ron_bass']","['michelle_pfeiffer', 'george_dzundza', 'courtney_b._vance']",1995,R,99,"LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily emb... Read all",['English'],,['Drama'],popular,Low_rated
30,30,Shanghai Triad (Yao a yao yao dao waipo qiao) ,['yimou_zhang'],"['feiyu_bi', 'li_xiao']","['gong_li', 'baotian_li', 'xiaoxiao_wang']",1995,R,108,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,['Mandarin'],Nominated,"['Crime', 'Drama']",unpopular,High_rated
31,36,Dead Man Walking ,['tim_robbins'],"['helen_prejean', 'tim_robbins']","['susan_sarandon', 'sean_penn', 'robert_prosky']",1995,R,122,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",['English'],Won,"['Crime', 'Drama']",popular,High_rated
32,39,Clueless ,['amy_heckerling'],['amy_heckerling'],"['alicia_silverstone', 'stacey_dash', 'brittany_murphy']",1995,PG-13,97,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each oth... Read all","['English ', ' Spanish']",,"['Comedy', 'Romance']",popular,High_rated
33,34,Babe ,['chris_noonan'],"['dick_king-smith', 'george_miller', 'chris_noonan']","['james_cromwell', 'magda_szubanski', 'christine_cavanaugh']",1995,G,91,"Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can her... Read all",['English'],Won,"['Children', 'Drama']",popular,High_rated
34,41,Richard III ,['richard_loncraine'],"['ian_mckellen', 'richard_loncraine', 'richard_eyre']","['ian_mckellen', 'annette_bening', 'christopher_bowen']",1995,R,110,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,['English'],Nominated,"['Drama', 'War']",unpopular,High_rated
35,43,Restoration ,['michael_hoffman'],"['rose_tremain', 'rupert_walters']","['robert_downey_jr.', 'sam_neill', 'david_thewlis']",1995,R,117,"The exiled royal doctor to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.","['English ', ' Latin']",Won,['Drama'],unpopular,Low_rated
36,38,It Takes Two ,['andy_tennant'],['deborah_dean_davis'],"['kirstie_alley', 'steve_guttenberg', 'mary-kate_olsen']",1995,PG,101,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",['English'],,"['Children', 'Comedy']",popular,Low_rated
37,40,"Cry, the Beloved Country ",['darrell_roodt'],"['ronald_harwood', 'alan_paton']","['richard_harris', 'james_earl_jones', 'vusi_kunene']",1995,PG-13,106,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",['English'],,['Drama'],unpopular,High_rated
38,44,Mortal Kombat ,['paul_w.s._anderson'],"['ed_boon', 'john_tobias', 'kevin_droney']","['christopher_lambert', 'robin_shou', 'linden_ashby']",1995,PG-13,101,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,['English'],,"['Action', 'Adventure', 'Fantasy']",popular,Low_rated
39,47,Seven (a.k.a. Se7en) ,['david_fincher'],['andrew_kevin_walker'],"['morgan_freeman', 'brad_pitt', 'kevin_spacey']",1995,R,127,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",['English'],Nominated,"['Mystery', 'Thriller']",popular,High_rated
40,42,Dead Presidents ,"['albert_hughes', 'allen_hughes']","['allen_hughes', 'albert_hughes', 'michael_henry_brown']","['larenz_tate', 'keith_david', 'chris_tucker']",1995,R,119,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",['English'],,"['Action', 'Crime', 'Drama']",popular,High_rated
41,45,To Die For ,['gus_van_sant'],"['joyce_maynard', 'buck_henry']","['nicole_kidman', 'matt_dillon', 'joaquin_phoenix']",1995,R,106,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,['English'],,"['Comedy', 'Drama', 'Thriller']",popular,High_rated
42,46,How to Make an American Quilt ,['jocelyn_moorhouse'],"['whitney_otto', 'jane_anderson']","['winona_ryder', 'ellen_burstyn', 'anne_bancroft']",1995,PG-13,117,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,['English'],,"['Drama', 'Romance']",unpopular,Low_rated
43,49,When Night Is Falling ,['patricia_rozema'],['patricia_rozema'],"['pascale_bussières', 'rachael_crawford', 'henry_czerny']",1995,Unrated,94,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a l... Read all",['English'],,"['Drama', 'Romance']",unpopular,Low_rated
44,50,The Usual Suspects,['bryan_singer'],['christopher_mcquarrie'],"['kevin_spacey', 'gabriel_byrne', 'chazz_palminteri']",1995,R,106,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,"['English ', ' Hungarian ', ' Spanish ', ' French']",Won,"['Crime', 'Mystery', 'Thriller']",popular,High_rated
45,48,Pocahontas ,"['mike_gabriel', 'eric_goldberg']","['carl_binder', 'susannah_grant', 'philip_lazebnik']","['mel_gibson', 'linda_hunt', 'christian_bale']",1995,G,81,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"['English ', ' Russian ', ' Algonquin']",Won,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",popular,High_rated
46,57,Home for the Holidays ,['jodie_foster'],"['chris_radant', 'w.d._richter']","['holly_hunter', 'anne_bancroft', 'robert_downey_jr.']",1995,PG-13,103,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday ... Read all",['English'],,['Drama'],unpopular,Low_rated
47,52,Mighty Aphrodite ,['woody_allen'],['woody_allen'],"['woody_allen', 'mira_sorvino', 'pamela_blair']",1995,R,95,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.","['English ', ' Latin']",Won,"['Comedy', 'Drama', 'Romance']",popular,High_rated
48,62,Mr. Holland's Opus ,['stephen_herek'],['patrick_sheane_duncan'],"['richard_dreyfuss', 'glenne_headly', 'jay_thomas']",1995,PG,143,A frustrated composer finds fulfillment as a high school music teacher.,"['English ', ' American Sign Language']",Nominated,['Drama'],popular,High_rated
49,60,The Indian in the Cupboard,['frank_oz'],"['lynne_reid_banks', 'melissa_mathison']","['hal_scardino', 'litefoot', 'lindsay_crouse']",1995,PG,96,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic... Read all",['English'],,"['Adventure', 'Children', 'Fantasy']",popular,Low_rated
50,61,Eye for an Eye ,['john_schlesinger'],"['erika_holzer', 'amanda_silver', 'rick_jaffa']","['sally_field', 'kiefer_sutherland', 'ed_harris']",1996,R,101,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.","['English ', ' French ', ' Spanish ', ' Korean']",,"['Drama', 'Thriller']",unpopular,Low_rated
51,54,The Big Green,['holly_goldberg_sloan'],['holly_goldberg_sloan'],"['steve_guttenberg', ""olivia_d'abo"", 'jay_o._sanders']",1995,PG,100,"A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.",['English'],,"['Children', 'Comedy']",unpopular,Low_rated
52,58,"Postman, The (Postino, Il) ","['michael_radford', 'massimo_troisi']","['antonio_skármeta', 'furio_scarpelli', 'giacomo_scarpelli']","['massimo_troisi', 'philippe_noiret', 'maria_grazia_cucinotta']",1994,PG,108,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.","['Italian ', ' Spanish']",Won,"['Comedy', 'Drama', 'Romance']",popular,High_rated
53,55,Georgia ,['ulu_grosbard'],['barbara_turner'],"['jennifer_jason_leigh', 'mare_winningham', 'ted_levine']",1995,R,115,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol prob... Read all,"['English ', ' Hebrew']",Nominated,['Drama'],unpopular,Low_rated
54,53,Lamerica ,['gianni_amelio'],"['gianni_amelio', 'andrea_porporati', 'alessandro_sermoneta']","['enrico_lo_verso', 'michele_placido', 'piro_milkani']",1994,,116,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political pris... Read all","['German ', ' Albanian ', ' Italian']",,"['Adventure', 'Drama']",unpopular,High_rated
55,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,['paris_barclay'],"['shawn_wayans', 'marlon_wayans', 'phil_beauman']","['shawn_wayans', 'marlon_wayans', 'keenen_ivory_wayans']",1996,R,89,"A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).","['English ', ' Spanish']",,"['Comedy', 'Crime']",popular,Low_rated
56,65,Bio-Dome ,['jason_bloom'],"['adam_leff', 'mitchell_peck', 'jason_blumenthal']","['pauly_shore', 'stephen_baldwin', 'william_atherton']",1996,PG-13,88,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",['English'],,['Comedy'],popular,Low_rated
57,66,Lawnmower Man 2: Beyond Cyberspace ,['farhad_mann'],"['farhad_mann', 'michael_miner']","['patrick_bergin', 'matt_frewer', ""austin_o'brien""]",1995,PG-13,93,"They thought they had destroyed him, but the simple gardener-turned-superkiller has found a way to reboot himself in Lawnmower Man 2: Beyond Cyberspace.",['English'],,"['Action', 'Sci-Fi', 'Thriller']",unpopular,Low_rated
58,64,Two if by Sea ,['bill_bennett'],"['denis_leary', 'mike_armstrong', 'ann_leary']","['sandra_bullock', 'denis_leary', 'stephen_dillane']",1996,R,96,"A couple steals a Matisse painting on contract, and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.",['English'],,"['Comedy', 'Romance']",unpopular,Low_rated
59,68,French Twist (Gazon maudit) ,['josiane_balasko'],"['josiane_balasko', 'telsche_boorman', 'patrick_aubrée']","['victoria_abril', 'josiane_balasko', 'alain_chabat']",1995,R,104,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.","['French ', ' Spanish ', ' English']",,"['Comedy', 'Romance']",unpopular,Low_rated
60,70,From Dusk Till Dawn ,['robert_rodriguez'],"['robert_kurtzman', 'quentin_tarantino']","['harvey_keitel', 'george_clooney', 'juliette_lewis']",1996,R,108,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","['English ', ' Spanish']",,"['Action', 'Comedy', 'Horror', 'Thriller']",popular,High_rated
61,71,Fair Game ,['andrew_sipes'],"['paula_gosling', 'charlie_fletcher']","['william_baldwin', 'cindy_crawford', 'steven_berkoff']",1995,R,91,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.","['English ', ' Russian']",,['Action'],unpopular,Low_rated
62,72,Kicking and Screaming ,['noah_baumbach'],"['noah_baumbach', 'bo_berkman']","['josh_hamilton', 'eric_stoltz', 'samuel_gould']",1995,R,96,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",['English'],,"['Comedy', 'Drama']",unpopular,High_rated
63,73,"Misérables, Les ",['claude_lelouch'],"['victor_hugo', 'claude_lelouch']","['jean-paul_belmondo', 'michel_boujenah', 'alessandra_martines']",1995,R,175,A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.,"['French ', ' German ', ' English']",,"['Drama', 'War']",unpopular,High_rated
64,75,Big Bully ,['steve_miner'],['mark_steven_johnson'],"['rick_moranis', 'tom_arnold', 'julianne_phillips']",1996,PG,90,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",['English'],,"['Comedy', 'Drama']",unpopular,Low_rated
65,76,Screamers ,['christian_duguay'],"['philip_k._dick', ""dan_o'bannon"", 'miguel_tejada-flores']","['peter_weller', 'roy_dupuis', 'jennifer_rubin']",1995,R,108,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they buil... Read all",['English'],,"['Action', 'Sci-Fi', 'Thriller']",popular,Low_rated
66,77,Nico Icon ,['susanne_ofteringer'],['susanne_ofteringer'],"['nico', 'tina_aumont', 'christian_päffgen']",1995,,67,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, ... Read all","['English ', ' German']",,['Documentary'],unpopular,High_rated
67,74,Bed of Roses ,['michael_goldenberg'],['michael_goldenberg'],"['christian_slater', 'mary_stuart_masterson', 'pamela_adlon']",1996,PG,87,Romantic drama about a young career girl who is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.,['English'],,"['Drama', 'Romance']",unpopular,Low_rated
68,69,Friday ,['f._gary_gray'],"['ice_cube', 'dj_pooh']","['ice_cube', 'chris_tucker', 'nia_long']",1995,R,91,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",['English'],,['Comedy'],popular,High_rated
69,78,The Crossing Guard,['sean_penn'],['sean_penn'],"['jack_nicholson', 'david_morse', 'anjelica_huston']",1995,R,111,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,['English'],,"['Action', 'Crime', 'Drama', 'Thriller']",unpopular,Low_rated
70,79,The Juror,['brian_gibson'],"['george_dawes_green', 'ted_tally']","['demi_moore', 'alec_baldwin', 'joseph_gordon-levitt']",1996,R,118,A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.,"['English ', ' Spanish']",,"['Drama', 'Thriller']",unpopular,Low_rated
71,81,Things to Do in Denver When You're Dead ,['gary_fleder'],['scott_rosenberg'],"['andy_garcia', 'christopher_walken', 'christopher_lloyd']",1995,R,115,Five different criminals face imminent death after botching a job quite badly.,['English'],,"['Crime', 'Drama', 'Romance']",popular,High_rated
72,89,Nick of Time ,['john_badham'],['patrick_sheane_duncan'],"['johnny_depp', 'christopher_walken', 'courtney_chase']",1995,R,90,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",['English'],,"['Action', 'Thriller']",popular,Low_rated
73,87,Dunston Checks In ,['ken_kwapis'],"['john_hopkins', 'bruce_graham']","['jason_alexander', 'faye_dunaway', 'eric_lloyd']",1996,PG,88,A young boy befriends a larcenous orangutan in a luxury hotel.,"['English ', ' French']",,"['Children', 'Comedy']",unpopular,Low_rated
74,85,Angels and Insects ,['philip_haas'],"['a.s._byatt', 'belinda_haas', 'philip_haas']","['mark_rylance', 'kristin_scott_thomas', 'patsy_kensit']",1995,R,116,In the 1800s a naturalist marries into a family of British country gentry.,['English'],Nominated,"['Drama', 'Romance']",unpopular,High_rated
75,88,Black Sheep ,['penelope_spheeris'],['fred_wolf'],"['chris_farley', 'david_spade', 'tim_matheson']",1996,PG-13,87,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,['English'],,['Comedy'],popular,Low_rated
76,80,"White Balloon, The (Badkonake sefid) ",['jafar_panahi'],"['abbas_kiarostami', 'jafar_panahi', 'parviz_shahbazi']","['aida_mohammadkhani', 'mohsen_kafili', 'fereshteh_sadre_orafaiy']",1995,Unrated,85,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,['Persian'],,"['Children', 'Drama']",unpopular,High_rated
77,82,Antonia's Line (Antonia) ,['marleen_gorris'],['marleen_gorris'],"['willeke_van_ammelrooy', 'jan_decleir', 'veerle_van_overloop']",1995,R,102,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",['Dutch'],Won,"['Comedy', 'Drama']",unpopular,High_rated
78,86,White Squall ,['ridley_scott'],"['charles_gieg_jr.', 'felix_sutton', 'todd_robinson']","['jeff_bridges', 'caroline_goodall', 'john_savage']",1996,PG-13,129,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,"['English ', ' Danish ', ' Spanish']",,"['Action', 'Adventure', 'Drama']",popular,Low_rated
79,92,Mary Reilly ,['stephen_frears'],"['valerie_martin', 'christopher_hampton']","['julia_roberts', 'john_malkovich', 'george_cole']",1996,R,108,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.",['English'],,"['Drama', 'Horror', 'Thriller']",unpopular,Low_rated
80,83,Once Upon a Time... When We Were Colored ,['tim_reid'],"['clifton_l._taulbert', 'paul_w._cooper']","['al_freeman_jr.', 'phylicia_rashad', 'leon']",1995,PG,115,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,['English'],,"['Drama', 'Romance']",unpopular,High_rated
81,93,Vampire in Brooklyn ,['wes_craven'],"['eddie_murphy', 'vernon_lynch', 'charlie_murphy']","['eddie_murphy', 'angela_bassett', 'allen_payne']",1995,R,100,A Caribbean vampire seduces a Brooklyn police officer who has no idea that she is half-vampire.,['English'],,"['Comedy', 'Horror', 'Romance']",popular,Low_rated
82,94,Beautiful Girls ,['ted_demme'],['scott_rosenberg'],"['matt_dillon', 'timothy_hutton', 'noah_emmerich']",1996,R,112,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,['English'],,"['Comedy', 'Drama', 'Romance']",popular,High_rated
